TimeStample,Qi
2019-01-01 02:00:00,0.046944821
2019-01-01 05:00:00,0.090726515
2019-01-01 08:00:00,0.030627102
2019-01-01 11:00:00,0.009037506
2019-01-01 14:00:00,0.034141688
2019-01-01 17:00:00,0.096600894
2019-01-01 20:00:00,0.072651504
2019-01-01 23:00:00,0.061605664
2019-01-02 02:00:00,0.016317719
2019-01-02 05:00:00,0.073906713
2019-01-02 08:00:00,0.084450469
2019-01-02 11:00:00,0.061153788
2019-01-02 14:00:00,0.021539388
2019-01-02 17:00:00,0.119194658
2019-01-02 20:00:00,0.158256766
2019-01-02 23:00:00,0.123864036
2019-01-03 02:00:00,0.038359191
2019-01-03 05:00:00,0.067480042
2019-01-03 08:00:00,0.086107345
2019-01-03 11:00:00,0.073555254
2019-01-03 14:00:00,0.025706683
2019-01-03 17:00:00,0.031480645
2019-01-03 20:00:00,0.083546719
2019-01-03 23:00:00,0.073655671
2019-01-04 02:00:00,0.034844605
2019-01-04 05:00:00,0.099964854
2019-01-04 08:00:00,0.048852739
2019-01-04 11:00:00,0.026911683
2019-01-04 14:00:00,0.042476277
2019-01-04 17:00:00,0.02947231
2019-01-04 20:00:00,0.190741578
2019-01-04 23:00:00,0.065471708
2019-01-05 02:00:00,0.034844605
2019-01-05 05:00:00,0.048852739
2019-01-05 08:00:00,0.062810664
2019-01-05 11:00:00,0.017171261
2019-01-05 14:00:00,0.025556058
2019-01-05 17:00:00,0.16794698
2019-01-05 20:00:00,0.058743787
2019-01-05 23:00:00,0.068835668
2019-01-06 02:00:00,0.132499874
2019-01-06 05:00:00,0.016317719
2019-01-06 08:00:00,0.030225436
2019-01-06 11:00:00,0.019079179
2019-01-06 14:00:00,0.086509012
2019-01-06 17:00:00,0.138374253
2019-01-06 20:00:00,0.117688407
2019-01-06 23:00:00,0.100115479
2019-01-07 02:00:00,0.095295476
2019-01-07 05:00:00,0.067429834
2019-01-07 08:00:00,0.01626751
2019-01-07 11:00:00,0.043028569
2019-01-07 14:00:00,0.080534217
2019-01-07 17:00:00,0.090425265
2019-01-07 20:00:00,0.159511975
2019-01-07 23:00:00,0.142742381
2019-01-08 02:00:00,0.01626751
2019-01-08 05:00:00,0.01626751
2019-01-08 08:00:00,0.081337551
2019-01-08 11:00:00,0.054375659
2019-01-08 14:00:00,0.034242105
2019-01-08 17:00:00,0.143646131
2019-01-08 20:00:00,0.110809861
2019-01-08 23:00:00,0.172967816
2019-01-09 02:00:00,0.084299844
2019-01-09 05:00:00,0.102625897
2019-01-09 08:00:00,0.051413365
2019-01-09 11:00:00,0.135612793
2019-01-09 14:00:00,0.22965306
2019-01-09 17:00:00,0.095646935
2019-01-09 20:00:00,0.290857057
2019-01-09 23:00:00,0.222573681
2019-01-10 02:00:00,0.012050008
2019-01-10 05:00:00,0.016669177
2019-01-10 08:00:00,0.114324446
2019-01-10 11:00:00,0.192649495
2019-01-10 14:00:00,0.089923181
2019-01-10 17:00:00,0.063463373
2019-01-10 20:00:00,0.219008887
2019-01-10 23:00:00,0.179143445
